Time,DisTankPress,HeadCylPress,CrankCylPress
0,38.60869065,15.06223388,33.37590726
0.00005,38.63483149,15.0827285,33.35951336
0.0001,38.61522586,15.17700378,33.26524844
0.00015,38.58908503,15.32046615,33.34107023
0.0002,38.61522586,15.16265754,33.295987
0.00025,38.57601461,15.14216291,33.3123809
0.0003,38.54987377,15.15241023,33.27549463
0.00035,38.61522586,15.33071346,33.132048
0.0004,38.5694794,15.15855861,32.97630595
0.00045,38.54987377,15.31021884,32.87589331
0.0005,38.58254982,15.24258658,32.7058066
0.00055,38.54333856,15.1974984,32.76728373
0.0006,38.52373294,15.16060808,32.70375736
0.00065,38.51066252,15.12166829,32.68326499
0.0007,38.57601461,15.2138941,32.59309854
0.00075,38.53680335,15.29997153,32.58285235
0.0008,38.53026814,15.31636723,32.54391684
0.00085,38.52373294,15.18930055,32.4598981
0.0009,38.51719773,15.25898228,32.34104233
0.00095,38.47798647,15.40244465,32.24472816
0.001,38.53680335,15.27537798,32.2303835
0.00105,38.5694794,15.19135001,32.1975957
0.0011,38.50412731,15.22414141,32.12587239
0.00115,38.50412731,15.4106425,32.04595213
0.0012,38.51066252,15.30816938,31.99881966
0.00125,38.45838084,15.35325755,31.94553949
0.0013,38.51719773,15.4434339,31.85537304
0.00135,38.37995834,15.49057154,31.76725583
0.0014,38.40609917,15.31636723,31.67708938
0.00145,38.4257048,15.24463604,31.68528633
0.0015,38.43224001,15.36350486,31.71807413
0.00155,38.45838084,15.44138444,31.62585844
0.0016,38.41263438,15.44753283,31.57052903
0.00165,38.5694794,15.50696724,31.61561225
0.0017,38.37342313,15.32661454,31.64635081
0.00175,38.39302875,15.44753283,31.47421486
0.0018,38.41263438,15.492621,31.29798044
0.00185,38.44531043,15.50491778,31.24060179
0.0019,38.36035271,15.51516509,31.33486671
0.00195,38.32114145,15.56845111,31.17297695
0.002,38.36035271,15.51926401,31.17092771
0.00205,38.36035271,15.38399949,31.17297695
